feature,importance_km,std_km
STORM_DIR_SIN,184.88668376096157,2.051242769372088
STORM_SPEED,103.85601828967349,1.2704826279437489
STORM_DIR_COS,102.6586452038684,1.8599219809058274
VELOCITY_U,13.432810494519819,0.2822558923002587
DELTA_LAT,12.238578896278188,0.4572886593387732
DELTA_LON,5.80196535034261,0.17488178413770245
BEARING_COS,3.3858230301046404,0.082570616219823
BASIN_CODE,2.338699507056765,0.15117063692333435
DELTA_LON_MEAN_24H,2.238804342330576,0.23478475323117393
ABS_LAT,2.17437165728341,0.20545041538697212
MOVEMENT_DISTANCE,1.9655977026821803,0.09458982890183013
LAT,1.7366151923661277,0.15142429732887294
BEARING_SIN,1.5103901813003517,0.0719343918354822
DOY_COS,1.4195221782632443,0.08295764998101132
DELTA_LAT_MEAN_24H,1.3922380194338586,0.11433606932271871
SPEED_MEAN_24H,1.3770566755584155,0.11469714448013923
STORM_AGE,0.772485710512106,0.12076713474919452
DOY_SIN,0.7399834170309021,0.05832724562580989
DIST2LAND,0.7170704255913222,0.13877691258352762
ACCEL_LON,0.6531140942120004,0.05653339593786664
LAT_LAG_1,0.5674058797077037,0.10641583007346994
DAY_OF_YEAR,0.5593445111397302,0.08059628061071845
BEARING_CHANGE_2,0.46903725331357576,0.04299005689360665
TURN_MAGNITUDE,0.2068055900097562,0.04735734532539076
LAT_LAG_3,0.1986023512232208,0.09959918995609467
BEARING_CHANGE_1,0.18201466020143187,0.04779670602994597
ACCEL_LAT,0.16260245641005328,0.09337529116292717
LON_LAG_3,0.14774247493424184,0.03746588288050933
DAY,0.13509220934055294,0.03194985116779895
LON,0.13292635425455615,0.052627788540370785
MONTH_SIN,0.13105364043112216,0.04720868470719646
DELTA_DIST2LAND,0.09943397231700146,0.04770419740225515
LAT_LAG_2,0.0931164956610246,0.023591488542372818
DELTA_WIND_MEAN_24H,0.056647895527262904,0.02603699962
WMO_PRES,0.04597598337984436,0.05918743683173112
TRANSLATION_SPEED,0.03309870306965479,0.01250488678701901
WIND_LAG_3,0.0293147288712305,0.044745321464071966
HOUR,0.02187009370500448,0.010864908510512241
HOUR_COS,0.014909689502869129,0.007615894720709313
CORIOLIS_SIN_LAT,0.008406832601340852,0.004608669076008979
DELTA_PRESSURE,0.004074608317660022,0.026995889745247928
HOUR_SIN,-0.0009215992117248106,0.010005320515831941
INTENSITY_CATEGORY,-0.0015955354384715292,0.0008434751773316644
LON_LAG_1,-0.0017181467353850621,0.0278508638905074
MONTH,-0.002336709975313056,0.005987696662042816
WIND_TREND,-0.005323710382964464,0.00635590278501534
LON_LAG_2,-0.010614345370277079,0.009649763063083058
PRESSURE_LAG_2,-0.011546211133460816,0.030290586826222047
DELTA_WIND,-0.017468633973896884,0.012250600827877182
WIND_LAG_2,-0.018920377627441098,0.029742473241296523
WMO_WIND,-0.025662165732168774,0.032284314224189994
VELOCITY_V,-0.046220646328248446,0.03261157736794749
WIND_LAG_1,-0.0488937554743444,0.03482368503243804
MONTH_COS,-0.06339557853571876,0.03307937850512574
PRESSURE_LAG_1,-0.06977924916934342,0.052875999658797274
PRESSURE_LAG_3,-0.083075854820774,0.03235066165838864
