Model,Horizon (h),Mean Error (km),95% CI,Median (km),P90 (km),Within 100km (%),R2 (displacement),Cross-track MAE (km),Along-track MAE (km),Along-track bias (km),Skill vs Persistence (%),Skill 95% CI,p,n
XGBoost,6,11.3,11–12,9.5,20.5,100.0,0.983,6.7,7.7,-1.2,+89.3,+89.1–+89.5,0.0,5300
Random Forest,6,13.6,13–14,11.1,26.2,100.0,0.975,8.1,9.2,-1.6,+87.2,+86.9–+87.4,0.0,5300
Linear Regression,6,24.2,24–25,19.2,47.2,99.1,0.919,13.1,17.4,-2.9,+77.2,+76.6–+77.6,0.0,5300
Linear Extrapolation,6,29.2,29–30,24.2,56.6,98.7,0.889,17.5,19.5,-6.1,+72.5,+71.9–+73.0,0.0,5300
Climatology,6,81.7,80–83,70.8,150.1,72.1,0.253,34.5,69.9,-66.5,+23.0,+22.2–+23.9,0.0,5300
Persistence,6,106.1,105–108,97.9,174.7,51.9,-0.149,0.7,106.3,-106.3,ref,—,—,5300
XGBoost,12,40.1,39–41,33.7,75.3,95.7,0.945,24.3,26.7,-7.8,+80.8,+80.4–+81.2,0.0,5085
Random Forest,12,42.8,42–44,35.8,80.7,94.7,0.937,26.2,28.3,-8.2,+79.5,+79.0–+79.9,0.0,5085
Linear Regression,12,56.4,55–58,46.5,108.7,87.5,0.89,32.9,38.3,-10.2,+73.0,+72.4–+73.5,0.0,5085
Linear Extrapolation,12,65.8,64–67,54.8,127.4,81.9,0.854,40.3,43.3,-14.3,+68.4,+67.8–+69.1,0.0,5085
Climatology,12,157.8,155–161,138.0,289.2,32.0,0.267,68.7,133.8,-127.0,+24.3,+23.4–+25.1,0.0,5085
Persistence,12,208.4,205–212,193.0,340.1,14.5,-0.161,2.5,208.5,-208.5,ref,—,—,5085
XGBoost,24,116.4,114–119,99.1,215.0,50.6,0.874,70.1,77.6,-36.7,+71.2,+70.5–+71.8,0.0,4657
Random Forest,24,120.0,118–122,102.1,221.4,48.5,0.867,72.8,79.6,-36.4,+70.3,+69.6–+70.9,0.0,4657
Linear Regression,24,139.3,137–142,117.5,267.3,40.5,0.82,84.2,92.5,-38.8,+65.5,+64.7–+66.2,0.0,4657
Linear Extrapolation,24,160.1,157–163,133.3,303.2,33.3,0.762,98.9,105.1,-38.6,+60.3,+59.5–+61.2,0.0,4657
Climatology,24,297.4,292–303,260.0,546.5,11.3,0.29,135.7,248.5,-234.5,+26.3,+25.4–+27.2,0.0,4657
Persistence,24,403.4,398–409,379.0,660.2,3.2,-0.186,9.0,403.2,-403.2,ref,—,—,4657
XGBoost,48,307.0,301–313,267.0,563.9,9.8,0.751,176.6,214.5,-137.2,+59.7,+58.9–+60.6,0.0,3794
Random Forest,48,315.1,309–321,270.0,584.0,9.2,0.739,185.2,216.6,-134.7,+58.6,+57.8–+59.6,0.0,3794
Linear Regression,48,335.3,328–342,290.6,603.4,8.1,0.706,198.3,228.8,-138.4,+56.0,+55.0–+57.0,0.0,3794
Linear Extrapolation,48,403.1,395–411,346.3,753.6,7.0,0.564,248.0,264.3,-96.7,+47.1,+45.9–+48.4,0.0,3794
Climatology,48,534.9,525–545,479.9,970.0,2.9,0.333,262.4,434.0,-403.7,+29.8,+28.9–+30.9,0.0,3794
Persistence,48,762.0,751–773,719.5,1248.3,0.7,-0.235,29.7,761.1,-761.1,ref,—,—,3794
XGBoost,72,501.2,489–512,443.3,888.0,3.8,0.677,278.4,363.7,-282.4,+54.1,+53.0–+55.2,0.0,2933
Random Forest,72,505.4,493–517,446.6,914.9,4.4,0.668,303.5,346.0,-246.3,+53.7,+52.5–+54.9,0.0,2933
Linear Regression,72,527.6,516–539,463.3,935.5,3.4,0.645,314.3,365.9,-260.6,+51.7,+50.5–+52.9,0.0,2933
Linear Extrapolation,72,686.6,670–702,596.7,1290.3,2.0,0.374,429.0,447.0,-155.7,+37.1,+35.4–+39.0,0.0,2933
Climatology,72,730.6,715–747,660.1,1315.3,1.9,0.371,375.8,579.1,-530.1,+33.1,+31.9–+34.2,0.0,2933
Persistence,72,1091.8,1073–1110,1032.0,1794.6,0.2,-0.283,59.1,1089.6,-1089.6,ref,—,—,2933
